id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
34884873,Enjoy Rooftop 3 BD 3.5 BA House perfect for groups,262961559,Sebastian,,District 8,36.2186,-86.74047,Entire home/apt,214,1,0,,,2,63
34892378,"Chic, Southern Farmhouse in Nashville w/Backyard!",190105349,Elsie & Emma,,District 26,36.09741,-86.7462,Entire home/apt,169,1,12,2019-09-15,4.56,2,336
34892620,"Modern, Pink Charmer in Woodbine w/ Huge Backyard",190105349,Elsie & Emma,,District 26,36.09836,-86.74745,Entire home/apt,169,2,13,2019-09-16,4.94,2,342
34893692,The Midtown Boho on Belwood,251804646,Barrett,,District 21,36.14586,-86.82042,Entire home/apt,85,30,8,2019-09-02,2.31,2,177
34897904,Preston Place - Double Trouble - Sleeps 20 Guests,30962240,Kevin,,District 5,36.20337,-86.74319,Entire home/apt,500,2,6,2019-09-02,2.00,17,323
34900045,Modern 3 bedroom home in Downtown Nashville!,253680904,Amanda,,District 17,36.14867,-86.76492,Entire home/apt,174,1,4,2019-07-15,1.15,20,118
34900662,Cozy retreat blocks from Broadway & Gulch,69562152,Scot,,District 19,36.15539,-86.77643,Entire home/apt,500,1,5,2019-09-18,3.13,3,163
34901153,BEAUTIFUL VILLA ✦ MINS TO DOWNTOWN ✦ BRAND NEW,101426897,Host Extraordinaires,,District 17,36.12874,-86.7805,Entire home/apt,999,2,10,2019-08-18,2.70,109,314
34901755,Sleeps 20! 2 Side-by-Side 3/Bdr Townhomes,319913,Reservations,,District 20,36.15809,-86.87293,Entire home/apt,457,2,3,2019-08-11,1.64,42,323
34902765,"City in the Front, Country in the Back",178128415,Leta,,District 12,36.19475,-86.58005,Entire home/apt,150,1,20,2019-09-18,5.71,1,147
34903543,Sleeps 30! 3 Side-by-Side 3/Bdr Townhomes,319913,Reservations,,District 20,36.15662,-86.87396,Entire home/apt,914,2,1,2019-08-25,1,42,352
34906123,"Modern 1 Bedroom Apartment, Walk to Broadway!",44046019,Amanda,,District 19,36.15458,-86.77441,Entire home/apt,200,2,19,2019-09-19,4.83,1,14
34906207,City View Dream House,139135769,Cindy,,District 19,36.14763,-86.78197,Entire home/apt,699,2,1,2019-08-04,0.63,1,166
34906948,Studio near downtown Nashville.,250805751,Hailey,,District 12,36.1651,-86.59501,Entire home/apt,65,1,4,2019-07-05,1.18,1,0
34907758,A12) Gulch Home - Killer Rooftop - 16 Beds!!,132613025,Tyler,,District 17,36.14446,-86.78617,Entire home/apt,430,2,17,2019-09-02,5.00,40,329
34907947,Nobility in The Nations-BRAND NEW LISTING!!,96547066,Matt,,District 20,36.15945,-86.84936,Entire home/apt,78,1,8,2019-09-01,2.31,5,79
34908096,"1 Bedroom Apt in West Meade, Nashville",739742,Lisa,,District 23,36.09071,-86.90226,Entire home/apt,70,1,18,2019-09-08,4.78,1,326
